year,territory,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest,eco_cost_total,eco_cost_cat_only,eco_cost_cat_plus_other,eco_sector_agriculture,eco_sector_authorities_stakeholders,eco_sector_environment,eco_sector_health,eco_type_control,eco_type_control_education,eco_type_control_medical_care,eco_type_control_prevention,eco_type_damage_loss,eco_type_eradication,eco_type_prevention
2016,Tasmania,545.0,22.0,1203.0,2290.0,2000.0,40.0,12.0,0.0,12.0,1.0,11.0,,,,,,,,,,,,,,
2016,Unspecified,,,,,,,,,,,,633265.3954966019,633265.3954966019,0.0,0.0,633265.3954966019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633265.3954966019,0.0
2016,Victoria,1410.0,61.0,2684.0,4736.0,4504.0,428.0,360.0,345.0,15.0,343.0,17.0,,,,,,,,,,,,,,
2016,Western Australia,2707.0,132.0,4919.0,6730.0,8231.0,318.0,5.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,
2017,All Australia,10964.0,474.0,21306.0,36227.0,35475.0,1865.0,1371.0,900.0,471.0,931.0,440.0,230142.281054742,230142.281054742,0.0,0.0,230142.281054742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230142.281054742,0.0
2017,New South Wales,3122.0,135.0,6701.0,10810.0,10560.0,571.0,866.0,580.0,286.0,551.0,315.0,,,,,,,,,,,,,,
2017,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,96.0,31.0,65.0,70.0,26.0,,,,,,,,,,,,,,
2017,Queensland,783.0,25.0,1354.0,2217.0,2640.0,171.0,28.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,
2017,South Australia,3252.0,138.0,5920.0,10783.0,10108.0,325.0,86.0,20.0,66.0,39.0,47.0,,,,,,,,,,,,,,
2017,Tasmania,416.0,20.0,978.0,1660.0,1634.0,65.0,3.0,3.0,0.0,1.0,2.0,,,,,,,,,,,,,,
2017,Victoria,1482.0,51.0,2607.0,4303.0,4448.0,546.0,281.0,242.0,39.0,246.0,35.0,,,,,,,,,,,,,,
2017,Western Australia,1909.0,105.0,3746.0,6454.0,6085.0,187.0,10.0,10.0,0.0,10.0,0.0,230142.281054742,230142.281054742,0.0,0.0,230142.281054742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230142.281054742,0.0
2018,All Australia,9812.0,461.0,20227.0,35881.0,33268.0,2064.0,1657.0,1103.0,554.0,1117.0,540.0,,,,,,,,,,,,,,
2018,New South Wales,2550.0,123.0,5839.0,9852.0,9039.0,586.0,841.0,551.0,290.0,519.0,322.0,,,,,,,,,,,,,,
2018,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,191.0,159.0,32.0,168.0,23.0,,,,,,,,,,,,,,
2018,Queensland,488.0,29.0,1336.0,2321.0,2399.0,153.0,65.0,34.0,31.0,29.0,36.0,,,,,,,,,,,,,,
2018,South Australia,2783.0,137.0,5998.0,10887.0,9529.0,404.0,99.0,7.0,92.0,24.0,75.0,,,,,,,,,,,,,,
2018,Tasmania,517.0,24.0,1191.0,1994.0,1976.0,75.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
2018,Victoria,1499.0,55.0,2489.0,4391.0,4319.0,535.0,407.0,325.0,82.0,350.0,57.0,,,,,,,,,,,,,,
2018,Western Australia,1975.0,93.0,3374.0,6436.0,6006.0,311.0,52.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,
2019,All Australia,8477.0,526.0,19551.0,33262.0,31452.0,1860.0,1622.0,1049.0,573.0,1099.0,523.0,130297.370225658,0.0,130297.370225658,0.0,0.0,130297.370225658,0.0,0.0,0.0,0.0,0.0,0.0,130297.370225658,0.0
2019,New South Wales,2080.0,179.0,5749.0,8674.0,8486.0,529.0,651.0,525.0,126.0,516.0,135.0,,,,,,,,,,,,,,
