Date,Series,Value
2017-08-18,Article Count,2
2017-08-18,Total Monitored Articles,570503
2017-08-19,Article Count,0
2017-08-19,Total Monitored Articles,422148
2017-08-20,Article Count,0
2017-08-20,Total Monitored Articles,369867
2017-08-21,Article Count,3
2017-08-21,Total Monitored Articles,597743
2017-08-22,Article Count,1
2017-08-22,Total Monitored Articles,611343
2017-08-23,Article Count,1
2017-08-23,Total Monitored Articles,650017
2017-08-24,Article Count,1
2017-08-24,Total Monitored Articles,265654
2017-08-25,Article Count,2
2017-08-25,Total Monitored Articles,538796
2017-08-26,Article Count,0
2017-08-26,Total Monitored Articles,435928
2017-08-27,Article Count,0
2017-08-27,Total Monitored Articles,383250
2017-08-28,Article Count,0
2017-08-28,Total Monitored Articles,390043
2017-08-29,Article Count,1
2017-08-29,Total Monitored Articles,670206
2017-08-30,Article Count,1
2017-08-30,Total Monitored Articles,682102
2017-08-31,Article Count,0
2017-08-31,Total Monitored Articles,587787
2017-09-01,Article Count,0
2017-09-01,Total Monitored Articles,579761
2017-09-02,Article Count,0
2017-09-02,Total Monitored Articles,417828
2017-09-03,Article Count,0
2017-09-03,Total Monitored Articles,375844
2017-09-04,Article Count,0
2017-09-04,Total Monitored Articles,537094
2017-09-05,Article Count,0
2017-09-05,Total Monitored Articles,610794
2017-09-06,Article Count,0
2017-09-06,Total Monitored Articles,683987
2017-09-07,Article Count,5
2017-09-07,Total Monitored Articles,668171
2017-09-08,Article Count,1
2017-09-08,Total Monitored Articles,647998
2017-09-09,Article Count,0
2017-09-09,Total Monitored Articles,429960
2017-09-10,Article Count,4
2017-09-10,Total Monitored Articles,411500
2017-09-11,Article Count,4
2017-09-11,Total Monitored Articles,643116
2017-09-12,Article Count,0
2017-09-12,Total Monitored Articles,698020
2017-09-13,Article Count,6
2017-09-13,Total Monitored Articles,679735
2017-09-14,Article Count,3
2017-09-14,Total Monitored Articles,684334
2017-09-15,Article Count,0
2017-09-15,Total Monitored Articles,568382
2017-09-16,Article Count,0
2017-09-16,Total Monitored Articles,408913
2017-09-17,Article Count,0
2017-09-17,Total Monitored Articles,402122
2017-09-18,Article Count,3
2017-09-18,Total Monitored Articles,626067
2017-09-19,Article Count,2
2017-09-19,Total Monitored Articles,676489
2017-09-20,Article Count,2
2017-09-20,Total Monitored Articles,698366
2017-09-21,Article Count,0
2017-09-21,Total Monitored Articles,697649
2017-09-22,Article Count,6
2017-09-22,Total Monitored Articles,605271
2017-09-23,Article Count,0
2017-09-23,Total Monitored Articles,443473
2017-09-24,Article Count,0
2017-09-24,Total Monitored Articles,384082
2017-09-25,Article Count,0
2017-09-25,Total Monitored Articles,651733
2017-09-26,Article Count,1
2017-09-26,Total Monitored Articles,652905
2017-09-27,Article Count,0
2017-09-27,Total Monitored Articles,622285
2017-09-28,Article Count,3
2017-09-28,Total Monitored Articles,652886
2017-09-29,Article Count,10
2017-09-29,Total Monitored Articles,597897
2017-09-30,Article Count,1
2017-09-30,Total Monitored Articles,387916
2017-10-01,Article Count,0
2017-10-01,Total Monitored Articles,348336
2017-10-02,Article Count,0
2017-10-02,Total Monitored Articles,580615
2017-10-03,Article Count,0
2017-10-03,Total Monitored Articles,657347
2017-10-04,Article Count,86
2017-10-04,Total Monitored Articles,589476
2017-10-05,Article Count,12
2017-10-05,Total Monitored Articles,655879
2017-10-06,Article Count,8
2017-10-06,Total Monitored Articles,575176
2017-10-07,Article Count,0
2017-10-07,Total Monitored Articles,415685
2017-10-08,Article Count,3
2017-10-08,Total Monitored Articles,387895
2017-10-09,Article Count,0
2017-10-09,Total Monitored Articles,641327
2017-10-10,Article Count,1
2017-10-10,Total Monitored Articles,635922
2017-10-11,Article Count,3
2017-10-11,Total Monitored Articles,675532
2017-10-12,Article Count,5
2017-10-12,Total Monitored Articles,684010
2017-10-13,Article Count,39
2017-10-13,Total Monitored Articles,661628
2017-10-14,Article Count,2
2017-10-14,Total Monitored Articles,415407
2017-10-15,Article Count,0
2017-10-15,Total Monitored Articles,408069
2017-10-16,Article Count,8
2017-10-16,Total Monitored Articles,601534
2017-10-17,Article Count,4
2017-10-17,Total Monitored Articles,719074
2017-10-18,Article Count,7
2017-10-18,Total Monitored Articles,645581
2017-10-19,Article Count,0
2017-10-19,Total Monitored Articles,706615
2017-10-20,Article Count,0
2017-10-20,Total Monitored Articles,705739
2017-10-21,Article Count,2
2017-10-21,Total Monitored Articles,420431
2017-10-22,Article Count,0
2017-10-22,Total Monitored Articles,426803
2017-10-23,Article Count,4
2017-10-23,Total Monitored Articles,691172
2017-10-24,Article Count,4
2017-10-24,Total Monitored Articles,701093
2017-10-25,Article Count,1
2017-10-25,Total Monitored Articles,707073
2017-10-26,Article Count,1
2017-10-26,Total Monitored Articles,748252
2017-10-27,Article Count,1
2017-10-27,Total Monitored Articles,662645
2017-10-28,Article Count,0
2017-10-28,Total Monitored Articles,430856
2017-10-29,Article Count,1
2017-10-29,Total Monitored Articles,402275
2017-10-30,Article Count,0
2017-10-30,Total Monitored Articles,648194
2017-10-31,Article Count,0
2017-10-31,Total Monitored Articles,713776
2017-11-01,Article Count,3
2017-11-01,Total Monitored Articles,705234
2017-11-02,Article Count,0
2017-11-02,Total Monitored Articles,680334
2017-11-03,Article Count,0
2017-11-03,Total Monitored Articles,696481
2017-11-04,Article Count,1
2017-11-04,Total Monitored Articles,426894
