Date,Series,Value
2018-05-25,Average Tone,-0.6221
2018-05-26,Average Tone,0.4814
2018-05-27,Average Tone,-3.7809
2018-05-28,Average Tone,-0.957
2018-05-29,Average Tone,-1.3983
2018-05-30,Average Tone,-4.9231
2018-05-31,Average Tone,-1.5767
2018-06-01,Average Tone,-0.8785
2018-06-02,Average Tone,0
2018-06-03,Average Tone,-3.3579
2018-06-04,Average Tone,-1.084
2018-06-05,Average Tone,-4.0386
2018-06-06,Average Tone,-4.1683
2018-06-07,Average Tone,-2.3241
2018-06-08,Average Tone,-1.8558
2018-06-09,Average Tone,0
2018-06-10,Average Tone,-0.5222
2018-06-11,Average Tone,-5.9034
2018-06-12,Average Tone,-1.5284
2018-06-13,Average Tone,1.1799
2018-06-14,Average Tone,-0.0581
2018-06-15,Average Tone,-4.5315
2018-06-16,Average Tone,0
2018-06-17,Average Tone,0.5026
2018-06-18,Average Tone,0
2018-06-19,Average Tone,-1.9106
2018-06-20,Average Tone,-1.4813
2018-06-21,Average Tone,-0.8377
2018-06-22,Average Tone,-2.087
2018-06-23,Average Tone,-2.1422
2018-06-24,Average Tone,-1.7148
2018-06-25,Average Tone,-0.458
2018-06-26,Average Tone,-1.6466
2018-06-27,Average Tone,-5.3451
2018-06-28,Average Tone,-0.155
2018-06-29,Average Tone,-0.7477
2018-06-30,Average Tone,-4.4818
2018-07-01,Average Tone,0
2018-07-02,Average Tone,-2.1077
2018-07-03,Average Tone,-2.1077
2018-07-04,Average Tone,-0.6928
2018-07-05,Average Tone,-2.381
2018-07-06,Average Tone,0.5919
2018-07-07,Average Tone,-0.7407
2018-07-08,Average Tone,-1.3054
2018-07-09,Average Tone,-0.3651
2018-07-10,Average Tone,-1.5626
2018-07-11,Average Tone,0
2018-07-12,Average Tone,0
2018-07-13,Average Tone,0
2018-07-14,Average Tone,0
2018-07-15,Average Tone,0
2018-07-16,Average Tone,0
2018-07-17,Average Tone,0
2018-07-18,Average Tone,-2.1442
2018-07-19,Average Tone,-1.7397
2018-07-20,Average Tone,-3.4839
2018-07-21,Average Tone,-1.6956
2018-07-22,Average Tone,-4.0302
2018-07-23,Average Tone,-3.588
2018-07-24,Average Tone,-3.9404
2018-07-25,Average Tone,-0.9456
2018-07-26,Average Tone,-3.4965
2018-07-27,Average Tone,-3.132
2018-07-28,Average Tone,0
2018-07-29,Average Tone,-0.5917
2018-07-30,Average Tone,0.0844
2018-07-31,Average Tone,-0.523
2018-08-01,Average Tone,0
2018-08-02,Average Tone,-1.021
2018-08-03,Average Tone,-3.6735
2018-08-04,Average Tone,0
2018-08-05,Average Tone,0
2018-08-06,Average Tone,-1.4839
2018-08-07,Average Tone,0
2018-08-08,Average Tone,0
2018-08-09,Average Tone,-2.5586
2018-08-10,Average Tone,0
2018-08-11,Average Tone,0
2018-08-12,Average Tone,0
2018-08-13,Average Tone,2.7972
2018-08-14,Average Tone,0.0917
2018-08-15,Average Tone,0
2018-08-16,Average Tone,0
2018-08-17,Average Tone,0
2018-08-18,Average Tone,0
2018-08-19,Average Tone,0
2018-08-20,Average Tone,0
2018-08-21,Average Tone,-2.0566
2018-08-22,Average Tone,-2.6316
2018-08-23,Average Tone,-1.8776
2018-08-24,Average Tone,0
2018-08-25,Average Tone,-0.4337
2018-08-26,Average Tone,0
2018-08-27,Average Tone,-2.1182
2018-08-28,Average Tone,0
2018-08-29,Average Tone,0
