year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
2016,South Australia,3057.0,112.0,112.0,8560.0,8589.0,440.0,268.0,45.0,223.0,83.0,185.0
2016,Tasmania,545.0,22.0,22.0,2290.0,2000.0,40.0,12.0,0.0,12.0,1.0,11.0
2016,Victoria,1410.0,61.0,61.0,4736.0,4504.0,428.0,360.0,345.0,15.0,343.0,17.0
2016,Western Australia,2707.0,132.0,132.0,6730.0,8231.0,318.0,5.0,2.0,3.0,4.0,1.0
2017,Australian Capital Territory,,,,,,,1.0,0.0,1.0,0.0,1.0
2017,New South Wales,3122.0,135.0,135.0,10810.0,10560.0,571.0,866.0,580.0,286.0,551.0,315.0
2017,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,96.0,31.0,65.0,70.0,26.0
2017,Queensland,783.0,25.0,25.0,2217.0,2640.0,171.0,28.0,14.0,14.0,14.0,14.0
2017,South Australia,3252.0,138.0,138.0,10783.0,10108.0,325.0,86.0,20.0,66.0,39.0,47.0
2017,Tasmania,416.0,20.0,20.0,1660.0,1634.0,65.0,3.0,3.0,0.0,1.0,2.0
2017,Victoria,1482.0,51.0,51.0,4303.0,4448.0,546.0,281.0,242.0,39.0,246.0,35.0
2017,Western Australia,1909.0,105.0,105.0,6454.0,6085.0,187.0,10.0,10.0,0.0,10.0,0.0
2018,Australian Capital Territory,,,,,,,1.0,0.0,1.0,0.0,1.0
2018,New South Wales,2550.0,123.0,123.0,9852.0,9039.0,586.0,841.0,551.0,290.0,519.0,322.0
2018,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,191.0,159.0,32.0,168.0,23.0
2018,Queensland,488.0,29.0,29.0,2321.0,2399.0,153.0,65.0,34.0,31.0,29.0,36.0
2018,South Australia,2783.0,137.0,137.0,10887.0,9529.0,404.0,99.0,7.0,92.0,24.0,75.0
2018,Tasmania,517.0,24.0,24.0,1994.0,1976.0,75.0,1.0,1.0,0.0,1.0,0.0
2018,Victoria,1499.0,55.0,55.0,4391.0,4319.0,535.0,407.0,325.0,82.0,350.0,57.0
2018,Western Australia,1975.0,93.0,93.0,6436.0,6006.0,311.0,52.0,26.0,26.0,26.0,26.0
2019,Australian Capital Territory,,,,,,,4.0,1.0,3.0,2.0,2.0
2019,New South Wales,2080.0,179.0,179.0,8674.0,8486.0,529.0,651.0,525.0,126.0,516.0,135.0
2019,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,140.0,83.0,57.0,119.0,21.0
2019,Queensland,435.0,41.0,41.0,1902.0,2386.0,186.0,36.0,17.0,19.0,11.0,25.0
2019,South Australia,2068.0,117.0,117.0,9248.0,8150.0,369.0,326.0,63.0,263.0,78.0,248.0
2019,Tasmania,654.0,23.0,23.0,2163.0,2031.0,163.0,1.0,0.0,1.0,1.0,0.0
2019,Victoria,1356.0,70.0,70.0,4569.0,4248.0,428.0,458.0,360.0,98.0,372.0,86.0
2019,Western Australia,1884.0,96.0,96.0,6706.0,6151.0,185.0,6.0,0.0,6.0,0.0,6.0
2020,Australian Capital Territory,,,,,,,6.0,1.0,5.0,2.0,4.0
2020,New South Wales,2226.0,118.0,118.0,7292.0,8211.0,483.0,583.0,502.0,81.0,491.0,92.0
2020,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2020,Queensland,633.0,50.0,50.0,3110.0,2807.0,149.0,14.0,6.0,8.0,6.0,8.0
